# Data SVM generades artificialment model
param nu:=5;
param m:=667;
param n:=4;
param sigma:=0.1;
param A: 1 2 3 4 5:=
1 0.124 0.007 0.389 0.267 -1
2 0.236 0.466 0.748 0.124 -1
3 0.609 0.516 0.756 0.122 1
4 0.416 0.203 0.672 0.034 -1
5 0.533 0.965 0.1 0.951 1
6 0.5 0.333 0.521 0.619 -1
7 0.086 0 0.65 0.115 -1
8 0.773 0.137 0.601 0.82 -1
9 0.67 0.873 0.596 0.279 1
10 0.097 0.695 0.735 0.802 1
11 0.011 0.621 0.983 0.4 1
12 0.924 0.605 0.839 0.991 1
13 0.66 0.372 0.393 0.891 1
14 0.527 0.687 0.578 0.821 1
15 0.13 0.269 0.184 0.891 -1
16 0.192 0.745 0.139 0.252 -1
17 0.829 0.766 0.246 0.018 -1
18 0.382 0.521 0.951 0.86 1
19 0.45 0.626 0.596 0.888 1
20 0.765 0.515 0.572 0.092 -1
21 0.639 0.329 0.852 0.517 1
22 0.889 0.478 0.623 0.279 1
23 0.8 0.607 0.775 0.314 1
24 0.083 0.16 0.213 0.333 -1
25 0.879 0.857 0.813 0.097 1
26 0.234 0.567 0.371 0.833 1
27 0.969 0.067 0.005 0.292 -1
28 0.255 0.574 0.205 0.574 -1
29 0.893 0.127 0.899 0.658 1
30 0.811 0.394 0.504 0.717 1
31 0.457 0.662 0.317 0.21 -1
32 0.934 0.312 0.845 0.551 1
33 0.112 0.402 0.145 0.13 -1
34 0.067 0.265 0.676 0.758 -1
35 0.376 0.3 0.791 0.942 1
36 0.542 0.538 0.851 0.963 1
37 0.692 0.654 0.803 0.734 1
38 0.082 0.056 0.397 0.501 -1
39 0.511 0.05 0.42 0.375 -1
40 0.251 0.704 0.47 0.775 1
41 0.523 0.663 0.689 0.066 -1
42 0.558 0.885 0.15 0.49 1
43 0.099 0.955 0.329 0.899 1
44 0.635 0.219 0.577 0.544 -1
45 0.401 0.627 0.959 0.901 1
46 0.357 0.112 0.512 0.523 -1
47 0.334 0.624 0.603 0.009 -1
48 0.39 0.912 0.426 0.794 1
49 0.632 0.467 0.833 0.146 1
50 0.258 0.7 0.199 0.146 -1
51 0.152 0.022 0.546 0.698 -1
52 0.04 0.552 0.206 0.964 -1
53 0.864 0.459 0.307 0.819 1
54 0.08 0.468 0.425 0.201 -1
55 0.297 0.372 0.608 0.761 1
56 0.014 0.217 0.064 0.978 -1
57 0.419 0.372 0.385 0.485 1
58 0.831 0.269 0.495 0.667 1
59 0.237 0.555 0.8 0.709 1
60 0.034 0.788 0.742 0.948 1
61 0.904 0.745 0.858 0.045 1
62 0.038 0.625 0.032 0.611 -1
63 0.927 0.936 0.846 0.407 1
64 0.176 0.354 0.491 0.058 1
65 0.394 0.477 0.166 0.278 -1
66 0.917 0.846 0.744 0.512 1
67 0.967 0.005 0.881 0.127 -1
68 0.559 0.806 0.421 0.15 -1
69 0.954 0.379 0.362 0.058 -1
70 0.534 0.163 0.137 0.739 -1
71 0.192 0.753 0.957 0.15 1
72 0.025 0.397 0.93 0.044 -1
73 0.79 0.842 0.735 0.634 1
74 0.621 0.918 0.085 0.475 1
75 0.209 0.177 0.144 0.583 -1
76 0.743 0.561 0.387 0.128 -1
77 0.81 0.287 0.088 0.897 1
78 0.191 0.329 0.656 0.858 1
79 0.917 0.83 0.509 0.546 1
80 0.137 0.759 0.708 0.251 -1
81 0.874 0.539 0.236 0.029 -1
82 0.626 0.864 0.106 0.624 1
83 0.56 0.814 0.757 0.383 1
84 0.039 0.644 0.992 0.437 1
85 0.511 0.794 0.735 0.437 1
86 0.374 0.765 0.446 0.036 -1
87 0.311 0.133 0.806 0.055 1
88 0.476 0.32 0.871 0.467 1
89 0.394 0.33 0.372 0.394 -1
90 0.93 0.738 0.488 0.371 1
91 0.947 0.799 0.086 0.373 1
92 0.001 0.978 0.725 0.853 1
93 0.343 0.613 0.469 0.276 -1
94 0.242 0.355 0.769 0.763 1
95 0.632 0.61 0.837 0.218 1
96 0.971 0.687 0.423 0.234 1
97 0.143 0.968 0.5 0.816 1
98 0.211 0.184 0.278 0.661 -1
99 0.344 0.993 0.196 0.424 -1
100 0.675 0.632 0.756 0.725 1
101 0.964 0.454 0.082 0.263 1
102 0.426 0.196 0.367 0.704 -1
103 0.973 0.835 0.339 0.455 1
104 0.726 0.565 0.187 0.259 -1
105 0.649 0.119 0.854 0.875 1
