   6.34238   10.69067    0.50264   -1.00000
   6.17751    9.57352   -0.51938   -1.00000
  -8.03301   20.99532    3.97974   -1.00000
  -9.47501    9.36220   -0.78649   -1.00000
   6.14933   19.43239   -0.62837   -1.00000
   2.27877   16.53311   -4.63952   -1.00000
  -9.43017   11.22131   -1.94012    1.00000
   4.80621    1.43141    5.24213   -1.00000
  -5.43778   11.87336    6.59002   -1.00000
   5.36529    7.92270    4.45951   -1.00000
   0.68158    0.51258   -4.80519   -1.00000
  -9.46956   18.19322   -0.61195   -1.00000
   5.15361   12.95553    4.78331   -1.00000
   0.54331   17.57285  -11.03141    1.00000
   6.07894   20.82251   12.25134    1.00000
   6.61724   16.61662   -9.53046    1.00000
   5.58439   11.58627   -2.01518   -1.00000
   0.59555    2.67982   14.08231    1.00000
  -8.59339    7.86963   -5.02300    1.00000
   5.97029    0.96494    3.20412   -1.00000
  -4.63017   16.41465   -9.46942    1.00000
  -8.95361    4.95014    2.09347   -1.00000
   5.39919    8.70000   -2.32147   -1.00000
   6.26773   17.70672    2.07858   -1.00000
  -7.87212    6.38452   -6.33104    1.00000
   0.18641    9.85631  -11.01092    1.00000
   2.71443    6.44292   13.67440    1.00000
   1.00413    2.76402   -4.81441   -1.00000
  -2.44187    7.18995  -10.48623    1.00000
  -6.60970    6.98189   -7.89784    1.00000
  -2.64233    2.02680  -10.41728    1.00000
  -9.19420   11.16074    1.29457   -1.00000
  -3.68507   17.73334   -9.98358    1.00000
   5.35671    3.46799   -2.38613   -1.00000
  -2.85754    3.03878    7.69613   -1.00000
  11.79951    1.88141    5.45492    1.00000
  -8.08833   19.54239   -5.98489    1.00000
  -3.50957   14.69031  -10.06581    1.00000
  11.43335    6.85784   -4.27997    1.00000
   4.26129   15.37346  -10.55141    1.00000
  -8.30868    1.17159   -5.59610    1.00000
  -7.04420   10.55167    5.24840   -1.00000
   3.27533   19.20221   13.50786    1.00000
  -4.59858   20.46096   -9.48869    1.00000
  -3.72332   15.70379   -9.96514    1.00000
  -6.29695   18.49091   -8.20254    1.00000
  12.54560   17.97725    2.23036    1.00000
  -8.29977   20.78156   -5.61265    1.00000
   1.78845    9.29283  -11.01229    1.00000
   6.15687   18.79309    2.59768   -1.00000
  -7.74076   13.20776    4.40677   -1.00000
   5.89101    1.76780   -9.91349    1.00000
   4.77363    3.41237   -3.12215   -1.00000
   5.41539    0.16400   -2.29632   -1.00000
  -9.32067    9.86604   -2.71597    1.00000
  -6.70680   19.74833    5.58865   -1.00000
   9.23203    6.81662    9.67833    1.00000
  -2.39715   17.27116    7.79204   -1.00000
  12.60575    2.41002    1.06464    1.00000
   9.49001    7.77626   -7.20765    1.00000
