# Data SVM llavors model
param nu:=5;
param m:=93;
param n:=7;
param sigma:= 1.3;
param A: 1 2 3 4 5 6 7 8:=
1 13.99 13.83 0.9183 5.119 3.383 5.234 4.781 1
2 18.88 16.26 0.8969 6.084 3.764 1.649 6.109 -1
3 19.51 16.71 0.878 6.366 3.801 2.962 6.185 -1
4 18.27 16.09 0.887 6.173 3.651 2.443 6.197 -1
5 19.15 16.45 0.889 6.245 3.815 3.084 6.185 -1
6 15.6 15.11 0.858 5.832 3.286 2.725 5.752 -1
7 14.29 14.09 0.905 5.291 3.337 2.699 4.825 1
8 15.49 14.94 0.8724 5.757 3.371 3.412 5.228 1
9 21.18 17.21 0.8989 6.573 4.033 5.78 6.231 -1
10 14.01 14.29 0.8625 5.609 3.158 2.217 5.132 1
11 20.1 16.99 0.8746 6.581 3.785 1.955 6.449 -1
12 17.63 15.98 0.8673 6.191 3.561 4.076 6.06 -1
13 16.2 15.27 0.8734 5.826 3.464 2.823 5.527 1
14 15.38 14.66 0.899 5.477 3.465 3.6 5.439 -1
15 17.08 15.38 0.9079 5.832 3.683 2.956 5.484 1
16 18.95 16.42 0.8829 6.248 3.755 3.368 6.148 -1
17 17.98 15.85 0.8993 5.979 3.687 2.257 5.919 -1
18 13.94 14.17 0.8728 5.585 3.15 2.124 5.012 1
19 12.08 13.23 0.8664 5.099 2.936 1.415 4.961 1
20 14.11 14.18 0.882 5.541 3.221 2.754 5.038 1
21 14.8 14.52 0.8823 5.656 3.288 3.112 5.309 1
22 18.43 15.97 0.9077 5.98 3.771 2.984 5.905 -1
23 12.72 13.57 0.8686 5.226 3.049 4.102 4.914 1
24 14.38 14.21 0.8951 5.386 3.312 2.462 4.956 1
25 13.02 13.76 0.8641 5.395 3.026 3.373 4.825 1
26 18.59 16.05 0.9066 6.037 3.86 6.001 5.877 -1
27 11.42 12.86 0.8683 5.008 2.85 2.7 4.607 1
28 19.18 16.63 0.8717 6.369 3.681 3.357 6.229 -1
29 20.97 17.25 0.8859 6.563 3.991 4.677 6.316 -1
30 14.69 14.49 0.8799 5.563 3.259 3.586 5.219 1
31 14.43 14.4 0.8751 5.585 3.272 3.975 5.144 1
32 13.45 14.02 0.8604 5.516 3.065 3.531 5.097 1
33 16.17 15.38 0.8588 5.762 3.387 4.286 5.703 -1
34 14.52 14.6 0.8557 5.741 3.113 1.481 5.487 1
35 14.16 14.4 0.8584 5.658 3.129 3.072 5.176 1
36 16.53 15.34 0.8823 5.875 3.467 5.532 5.88 -1
37 14.11 14.26 0.8722 5.52 3.168 2.688 5.219 1
38 12.74 13.67 0.8564 5.395 2.956 2.504 4.869 1
39 17.99 15.86 0.8992 5.89 3.694 2.068 5.837 -1
40 18.72 16.19 0.8977 6.006 3.857 5.324 5.879 -1
41 15.03 14.77 0.8658 5.702 3.212 1.933 5.439 1
42 12.78 13.57 0.8716 5.262 3.026 1.176 4.782 1
43 15.38 14.9 0.8706 5.884 3.268 4.462 5.795 -1
44 19.14 16.61 0.8722 6.259 3.737 6.682 6.053 -1
45 14.09 14.41 0.8529 5.717 3.186 3.92 5.299 1
46 14.79 14.52 0.8819 5.545 3.291 2.704 5.111 1
47 13.22 13.84 0.868 5.395 3.07 4.157 5.088 1
48 13.8 14.04 0.8794 5.376 3.155 1.56 4.961 1
49 18.14 16.12 0.8772 6.059 3.563 3.619 6.011 -1
50 12.73 13.75 0.8458 5.412 2.882 3.533 5.067 1
51 14.11 14.1 0.8911 5.42 3.302 2.7 5 1
52 20.24 16.91 0.8897 6.315 3.962 5.901 6.188 -1
53 19.38 16.72 0.8716 6.303 3.791 3.678 5.965 -1
54 15.11 14.54 0.8986 5.579 3.462 3.128 5.18 1
55 13.74 14.05 0.8744 5.482 3.114 2.932 4.825 1
56 15.5 14.86 0.882 5.877 3.396 4.711 5.528 1
57 13.5 13.85 0.8852 5.351 3.158 2.249 5.176 1
58 12.36 13.19 0.8923 5.076 3.042 3.22 4.605 1
59 14.59 14.28 0.8993 5.351 3.333 4.185 4.781 1
60 14.37 14.39 0.8726 5.569 3.153 1.464 5.3 1
61 17.55 15.66 0.8991 5.791 3.69 5.366 5.661 -1
62 16.14 14.99 0.9034 5.658 3.562 1.355 5.175 1
63 16.19 15.16 0.8849 5.833 3.421 0.903 5.307 1
64 16.16 15.33 0.8644 5.845 3.395 4.266 5.795 -1
65 14.7 14.21 0.9153 5.205 3.466 1.767 4.649 1
66 14.33 14.28 0.8831 5.504 3.199 3.328 5.224 1
67 18.76 16.2 0.8984 6.172 3.796 3.12 6.053 -1
68 18.75 16.18 0.8999 6.111 3.869 4.188 5.992 -1
69 18.94 16.49 0.875 6.445 3.639 5.064 6.362 -1
70 13.54 13.85 0.8871 5.348 3.156 2.587 5.178 1
71 16.44 15.25 0.888 5.884 3.505 1.969 5.533 1
72 11.23 12.63 0.884 4.902 2.879 2.269 4.703 1
73 14.88 14.57 0.8811 5.554 3.333 1.018 4.956 1
74 14.49 14.61 0.8538 5.715 3.113 4.116 5.396 1
75 18.45 16.12 0.8921 6.107 3.769 2.235 5.794 -1
76 15.05 14.68 0.8779 5.712 3.328 2.129 5.36 1
77 20.71 17.23 0.8763 6.579 3.814 4.451 6.451 -1
78 18.96 16.2 0.9077 6.051 3.897 4.334 5.75 -1
79 18.83 16.29 0.8917 6.037 3.786 2.553 5.879 -1
80 19.57 16.74 0.8779 6.384 3.772 1.472 6.273 -1
81 18.72 16.34 0.881 6.219 3.684 2.188 6.097 -1
82 18.94 16.32 0.8942 6.144 3.825 2.908 5.949 -1
83 17.12 15.55 0.8892 5.85 3.566 2.858 5.746 -1
84 18.98 16.57 0.8687 6.449 3.552 2.144 6.453 -1
85 14.03 14.16 0.8796 5.438 3.201 1.717 5.001 1
86 14.86 14.67 0.8676 5.678 3.258 2.129 5.351 1
87 19.13 16.31 0.9035 6.183 3.902 2.109 5.924 -1
88 15.69 14.75 0.9058 5.527 3.514 1.599 5.046 1
89 14.92 14.43 0.9006 5.384 3.412 1.142 5.088 1
90 18.81 16.29 0.8906 6.272 3.693 3.237 6.053 -1
